代码,名称,市场
301585,N蓝宇,SZ
301598,N博科,SZ
300209,*ST有树,SZ
301383,天键股份,SZ
300805,电声股份,SZ
301110,青木科技,SZ
300323,华灿光电,SZ
301009,可靠股份,SZ
300809,华辰装备,SZ
300913,兆龙互连,SZ
301600,慧翰股份,SZ
301007,德迈仕,SZ
300199,翰宇药业,SZ
300757,罗博特科,SZ
300386,飞天诚信,SZ
301365,矩阵股份,SZ
300984,金沃股份,SZ
301191,菲菱科思,SZ
301070,开勒股份,SZ
002717,岭南股份,SZ
002277,友阿股份,SZ
002494,华斯股份,SZ
002137,实益达,SZ
002379,宏创控股,SZ
002329,皇氏集团,SZ
002743,富煌钢构,SZ
002856,美芝股份,SZ
000670,盈方微,SZ
002047,宝鹰股份,SZ
002377,国创高新,SZ
002617,露笑科技,SZ
002878,元隆雅图,SZ
000886,海南高速,SZ
002587,奥拓电子,SZ
002851,麦格米特,SZ
002949,华阳国际,SZ
002045,国光电器,SZ
002847,盐津铺子,SZ
002779,中坚科技,SZ
003010,若羽臣,SZ
002730,电光科技,SZ
002397,梦洁股份,SZ
000880,潍柴重机,SZ
002281,光迅科技,SZ
002995,天地在线,SZ
001314,亿道信息,SZ
000823,超声电子,SZ
001308,康冠科技,SZ
002582,好想你,SZ
002009,天奇股份,SZ
000818,航锦科技,SZ
002122,汇洲智能,SZ
002616,长青集团,SZ
002640,跨境通,SZ
001296,长江材料,SZ
002449,国星光电,SZ
002685,华东重机,SZ
002210,飞马国际,SZ
002305,南国置业,SZ
002154,报 喜 鸟,SZ
300703,创源股份,SZ
301286,侨源股份,SZ
300740,水羊股份,SZ
300046,台基股份,SZ
300824,北鼎股份,SZ
300992,泰福泵业,SZ
301129,瑞纳智能,SZ
301297,富乐德,SZ
301336,趣睡科技,SZ
300025,华星创业,SZ
300153,科泰电源,SZ
300324,旋极信息,SZ
301550,斯菱股份,SZ
002131,利欧股份,SZ
300256,星星科技,SZ
000950,重药控股,SZ
002765,蓝黛科技,SZ
300417,南华仪器,SZ
300469,信息发展,SZ
300622,博士眼镜,SZ
301446,福事特,SZ
002290,禾盛新材,SZ
300260,新莱应材,SZ
301392,汇成真空,SZ
300100,双林股份,SZ
002514,宝馨科技,SZ
301183,东田微,SZ
301296,新巨丰,SZ
300959,线上线下,SZ
300980,祥源新材,SZ
300488,恒锋工具,SZ
300182,捷成股份,SZ
301536,星宸科技,SZ
300351,永贵电器,SZ
002130,沃尔核材,SZ
301165,锐捷网络,SZ
300125,ST聆达,SZ
301119,正强股份,SZ
300942,易瑞生物,SZ
300441,鲍斯股份,SZ
300956,英力股份,SZ
300879,大叶股份,SZ
300698,万马科技,SZ
300231,银信科技,SZ
300736,百邦科技,SZ
000677,恒天海龙,SZ
301127,天源环保,SZ
002362,汉王科技,SZ
300792,壹网壹创,SZ
301317,鑫磊股份,SZ
300563,神宇股份,SZ
300192,科德教育,SZ
002188,中天服务,SZ
301237,和顺科技,SZ
002264,新 华 都,SZ
301251,威尔高,SZ
300857,协创数据,SZ
300580,贝斯特,SZ
301187,欧圣电气,SZ
301606,绿联科技,SZ
300609,汇纳科技,SZ
300077,国民技术,SZ
002127,南极电商,SZ
300830,金现代,SZ
300863,卡倍亿,SZ
300553,集智股份,SZ
000903,云内动力,SZ
002778,中晟高科,SZ
002774,快意电梯,SZ
300382,斯莱克,SZ
301123,奕东电子,SZ
301211,亨迪药业,SZ
301055,张小泉,SZ
002946,新乳业,SZ
300287,飞利信,SZ
002876,三利谱,SZ
000423,东阿阿胶,SZ
002330,得利斯,SZ
301095,广立微,SZ
301366,一博科技,SZ
002335,科华数据,SZ
002625,光启技术,SZ
301273,瑞晨环保,SZ
300313,ST天山,SZ
300210,森远股份,SZ
300049,福瑞股份,SZ
301186,超达装备,SZ
300802,矩子科技,SZ
001328,登康口腔,SZ
301231,荣信文化,SZ
300623,捷捷微电,SZ
002315,焦点科技,SZ
300739,明阳电路,SZ
300506,*ST名家,SZ
300106,西部牧业,SZ
300131,英唐智控,SZ
300102,乾照光电,SZ
300901,中胤时尚,SZ
000584,*ST工智,SZ
002895,川恒股份,SZ
300572,安车检测,SZ
001283,豪鹏科技,SZ
300269,联建光电,SZ
301510,固高科技,SZ
300681,英搏尔,SZ
300820,英杰电气,SZ
